command-safety-checker|Developers reviewing a command before executing elsewhere|Paste/select shell → analyze → inspect warnings|See dangerous command spans and limitations clearly enough to decide on manual review|Shell-aware rules, evidence spans, no-execution guarantee, reviewable output|Quoted strings; pipelines; multiline; obfuscation; false negatives; empty input|Executing commands or certifying safety|No warning must not imply safe; rule examples need independent expected verdicts
construction-tools-atlas|Workers/learners who recognize a tool or task but not its name|Describe appearance/use → filter candidates → inspect reference|Identify plausible tools/materials and distinguish close alternatives using source-backed detail|Alias/task search, visual/detail evidence, uncertainty, official-reference handoff|Vague query; synonyms; no match; wrong material; long results; keyboard/narrow access|Replacing manuals, safety standards, or professional judgment|Search intent coverage and media/detail parity still need user-task validation
contract-cleaner|People preparing a contract for human review|Paste contract → scan attention terms → inspect questions|Locate relevant clauses and carry concrete questions into review without a legal verdict|Locations/context, categories, readable questions, stated heuristic limits|Empty/long contract; negation; repeated keywords; false positives|Contract approval, legal advice, automatic negotiation|Keywords alone do not define useful clause coverage or false-negative expectations
contract-risk-highlighter|People organizing contract concerns|Paste → highlight rule matches → inspect review/handoff|Understand which text triggered concerns and preserve enough context for a reviewer|Traceable highlights, human-review framing, usable free result|Long document; overlapping matches; no match; repeat input; locked exports|Legal conclusions or automatic contract rewriting|Independent examples must cover overlap, negation, and unrecognized risky clauses
cosmetic-ingredient-checker-lite|Consumers quickly checking a pasted ingredient label|Paste → normalize → inspect known/unknown categories|Recognize matched and unmatched ingredients without interpreting the list as a safety/allergy judgment|Bilingual exact/alias matching, unknowns, original-to-normalized traceability|Mixed separators; duplicate ingredients; unknown names; empty list|OCR, medical/allergy advice, concentration inference|Dataset provenance and parser examples are useful; realistic mixed-label/browser checks remain
cover-letter-lite|Applicants needing an English first draft|Enter role/details → select template → generate/edit → copy|Obtain an editable letter with supplied facts preserved and placeholders visible|Required-field feedback, template selection, editing, accurate copy|Blank facts; long names; punctuation; regenerate after editing|AI personalization or hiring guarantees|Specify edit-loss behavior and which facts/placeholders appear in every template
csv-tidy|Office/data users preparing an importable CSV|Load → set encoding/delimiter/header → adjust columns/rules → preview → download|Reopen a valid output with correct row values, column order, headers and encoding, with omissions understood|Robust parsing/serialization, preview and output agreement, explicit exclusions, file download|Quoted delimiters/newlines; invalid quoting; wide/large data; empty/duplicate headers; reselect|Spreadsheet suite, backend processing, arbitrary encoding conversion|No measured size envelope or full output round-trip acceptance; auto-detection accuracy remains uncertain
 design-request-builder|Clients and designers agreeing a brief|Fill scope/deliverables/constraints → generate → review/copy|Share a brief that exposes missing decisions and concrete acceptance expectations|Input validation, consistent sections, editable/reusable draft, unresolved items|Missing deadline/budget; contradictory constraints; long references; repeat|Contract generation or project-management service|Completion examples must distinguish actionable acceptance from generic template text
dry-meter|People deciding whether/how to dry laundry|Choose weather/manual conditions → select item → inspect estimate|Understand a bounded drying estimate and which conditions it assumes|Input units/ranges, weather failure fallback, estimate explanation|Unavailable location/API; extreme humidity/wind; invalid numbers; stale weather|Calibrated drying-time prediction or safety guidance|Weather dependency and numeric boundary behavior need explicit fixtures
earth-map-suite|Users exploring map/precipitation conditions and preview cards|Set area/time/mode → view synthetic preview/metadata availability|Understand exactly which output is synthetic and which only confirms remote metadata availability|Unambiguous provenance, valid bounds/time, clear service errors|No data; reversed bbox; unsupported interval; service failure; synthetic/real confusion|Claiming real observations from synthetic preview|Resolve whether the current preview job itself is useful; do not silently redefine it as a real weather product
exif-cleaner-mini|People removing metadata before sharing a photo|Choose image(s) → canvas regeneration → inspect/download|Share a readable regenerated file with stated metadata-removal and format limits understood|Supported decode, orientation/quality review, export, explicit limitations|Unsupported/corrupt image; rotation; transparency; many/large files|Forensic sanitization guarantees or full media editor|Verify actual output metadata and visual fidelity, not just completion labels
filetype-sniffer|Users checking an unfamiliar file without executing it|Select file → inspect signature/extension comparison|Identify a supported probable format or a clear unknown/mismatch result|Bounded byte inspection, confidence/unknown explanation, readable signature|Empty/short file; ambiguous signature; misleading extension; unknown format|Antivirus, content validation, automatic opening|Signature tests do not establish all formats; output must avoid certainty beyond available bytes
form-tool-selector|Site owners narrowing form-builder requirements|Select needs/priorities → generate category and decision memo|Know which capabilities and tradeoffs to verify before choosing a real provider|Consistent requirement mapping, explained tradeoffs, reusable memo|Conflicting needs; no selections; all selections; repeated use|Vendor ranking, live pricing, automatic form creation|Need example decisions that show meaningful tradeoffs instead of generic advice
growth-log-template-generator|Small teams drafting a growth update|Enter KPIs/hypotheses/learning → apply privacy controls → copy draft|Reuse a coherent update that preserves facts and deliberately excludes sensitive notes|Field preservation, section generation, privacy controls, copy|Missing KPIs; multiline notes; sensitive free text; output regeneration|Analytics dashboard or automatic data collection|Privacy controls require explicit before/after examples and no accidental note leakage
habit-plan-generator|Individuals making a small weekly habit plan|Enter goal/time/days/obstacles → generate plan|Leave with an achievable schedule, minimum action and recovery plan that can be reused|Time/day consistency, readable checklist, reusable output|No days; zero time; long goal; contradictory constraints|Coaching platform, reminders, accounts, behavioral guarantees|Feasibility and contradictory-input behavior need examples
image-compression-inspector|People reducing an image for publication|Load → choose format/quality → compare → download|Save an acceptable-looking image at a known actual size, including when output grows|Decode, preview, size/ratio calculation, format-aware export|Transparency to JPEG; quality extremes; already-compressed or huge image|Batch DAM or subjective quality guarantee|Define output fidelity and growth/unsupported-format feedback
image-redact|People hiding private visual information before sharing|Load → mark regions → choose redaction → inspect/export PNG|Share an image whose intended sensitive regions are actually obscured in the saved output|Accurate region mapping, review at useful scale, export matching preview|Scaled image; edge regions; undo/reset; many regions; large export|Guaranteed irreversibility of blur or automated PII detection|Blackout vs blur security semantics and coordinate/export agreement need independent validation
inci-fastscan|Users reading photographed or pasted cosmetic labels|Paste or OCR image → correct text → analyze known/unknown ingredients|Review corrected source text and clearly separated matches/unmatched items without a safety verdict|OCR correction, parser traceability, dictionary coverage/unknowns, bilingual detail|OCR errors; poor image; duplicate/unknown ingredients; model download failure|Medical judgments or automatic allergy/product-safety approval|OCR path, dictionary provenance, and low-confidence correction require browser/device evidence
incident-update-generator|Incident responders preparing status updates|Enter confirmed facts → choose audience → generate/copy drafts|Share a reviewed update that preserves facts and does not invent ETA/cause/resolution|Fact preservation, explicit unknowns, audience-specific output, copy|Unknown ETA; blank cause; long chronology; regenerate after edits|Sending updates, legal/PR decisions, automatic incident detection|Need fixtures ensuring unknown facts are never promoted to certainty
jp-postal-lite|Office users collecting a small Japanese address reference list|Filter prefecture/address → choose matches → export CSV|Reuse selected postal/address rows with leading zeros and official-confirmation limits preserved|Search, selectable results, correct CSV, coverage indication|No match; partial/duplicate address; leading-zero postal codes; many selections|Authoritative address validation or nationwide automatic address entry|Dataset coverage/freshness and real CSV consumer interoperability remain unverified
json-repair|Developers salvaging malformed JSON|Paste → validate/repair → inspect → copy/download|Obtain parseable JSON while understanding any lossy or ambiguous changes|Precise errors, bounded repairs, review/diff of changed meaning, valid serialization|Empty; deeply nested; duplicate keys; truncated string; huge text; repeated repair|Guaranteeing intended meaning or arbitrary-language parsing|Define change accountability and safe handling of ambiguous repair separately from parser success
json2mermaid|Developers documenting a JSON structure|Paste JSON → choose options → generate → copy/save Mermaid|Use syntactically valid diagram source that represents the intended structure at a manageable size|JSON validation, safe labels/IDs, clear limits, reusable Mermaid text|Primitive roots; arrays; special labels; deep/wide/large JSON; invalid JSON|Full visual editor or automatic architecture inference|Generated diagrams need downstream parse checks and explicit truncation rules
kanji-modernizer|Users normalizing registered old/modern forms|Paste → choose direction → convert → inspect replacements/copy|Reuse intended text while recognizing ambiguous mappings and unchanged characters|Traceable replacements, dictionary boundaries, Unicode preservation, copy|One-to-many forms; unknown/supplementary characters; long text|Context-aware legal-name correction or translation|Representative ambiguity cases and output non-loss need stronger acceptance examples
laundry-code-decode|People reading a Japanese care label|Find/select symbol → inspect meaning and combination guidance|Identify the matching current symbol and understand its care constraints without invented certainty|Complete cited symbol set, recognizable icons, accurate category/temperature meaning|Similar icons; mixed labels; no match; small-screen icon selection|Laundry guarantees or automatic image recognition|Strong data contract; real visual identification and combination comprehension remain unverified
light-check|Creators checking lighting before recording|Permit camera → inspect relative metrics → compare conditions|Understand relative changes under known acquisition conditions rather than calibrated lux|Permission/start/stop feedback, live frames, metric limitations, readable comparison|Permission denial; unavailable camera; darkness; exposure changes; stop/restart|Calibrated light meter or objective exposure guarantee|Device permission lifecycle and auto-exposure effects require real-device testing
linebreak-doctor|Social-post authors moving text between platforms|Paste → choose policy → format → inspect/copy platform variant|Paste the intended text with deliberate blank-line/invisible-character behavior preserved|Visible policy, accurate previews/copy, empty-input feedback|Empty; emoji/Japanese; repeated blank lines; long text; repeat/copy|Posting service, accounts, platform rendering guarantees|Clipboard sample passed; downstream paste, limits and narrow layout still need validation
log-formatter|Developers inspecting local access/mixed logs|Paste → parse → filter status/errors → inspect rows|Find relevant events while retaining malformed/unparsed lines and enough original context|Readable parsed fields, filters, explicit parse failures, original text access|Mixed formats; invalid lines; long paths; large logs; repeated filtering|Log ingestion service, observability dashboard, automated diagnosis|Measure large-input responsiveness and prove that unmatched lines are not silently lost
logistics-compliance-kit-jp|Japanese shippers preparing an internal efficiency review|Enter logistics conditions/memo → generate priority/actions/draft|Produce a reviewable planning memo with traceable reasons and unresolved questions|Explicit field/scoring definitions, reason mapping, draft preservation and handoff|Missing conditions; boundary thresholds; conflicting answers; long memo|Legal/compliance certification or automatic regulatory filing|Specification refers to implemented fields instead of defining them; cannot independently verify score or output
lp-skeleton-generator|Small publishers drafting a landing page|Enter product/audience/value → generate structure/copy → review|Reuse a coherent page outline with unsupported claims and missing evidence visible|Section consistency, preservation of supplied facts, editable/reusable draft|Sparse input; long copy; contradictory promises; repeat generation|Publishing websites or certifying advertising claims|Expected section ordering and unsupported-claim handling need examples
manual-finder|Owners seeking an official manual for a real device|Search model/category → inspect candidate → open official destination|Reach the correct official manual or a clearly labelled official support/grouping page|Model disambiguation, useful no-match state, direct source handoff, provenance|Partial/ambiguous model; zero results; pagination; stale/moved official link|Hosting manuals, generic shopping search, pretending maker indexes are exact models|Search works in sampled cases; destination freshness and link-level coverage need a stratified audit
membership-offer-builder|Creators preparing a membership offer|Enter audience/benefits/price/limits → generate → review/copy|Share a coherent offer whose delivery and cancellation promises can be fulfilled|Consistent cadence/benefit boundaries, explicit unresolved terms, reusable copy|Missing price; excessive benefits; conflicting frequencies; long terms|Membership platform, payments, subscriptions|Acceptance needs consistency examples across price, scope and delivery limits
message-generator|Users drafting a short social/personal message|Choose purpose/culture/formality/relationship → generate/copy|Reuse an appropriate draft with supplied names/keywords preserved|Predictable option effects, coherent text, usable copy|Missing options; unusual names; long keywords; repeated random variants|Sending messages or guaranteeing cultural appropriateness|Define fallback combinations and keyword integration without overstating personalization
metadatasnap|Site editors inspecting a page's metadata|Enter URL → proxy fetch → inspect title/description/image/canonical|Recognize fetched/missing metadata and inspect the correct image/destination for that source page|Input validation, disclosed fetch route, source-relative URL handling, errors|Relative URLs; missing tags; blocked fetch; fallback failure; reset while loading|Crawler, authenticated browsing, JavaScript rendering|Documented unresolved relative URLs conflict with a trustworthy image preview
microtool-launch-checklist|Small-tool authors reviewing a release|Select tool context → generate checklist → review/copy|Leave with relevant, actionable checks and explicit unverified items|Context mapping, concrete check wording, reusable checklist|No context; conflicting choices; repeat generation; long notes|CI platform, automatic compliance approval|Checklist generation is not verification; expected context-specific differences need examples
mini-game-utility|People timing casual games and recording scores|Start/pause/reset timer → add score → inspect history → export CSV|Keep a usable score record and export rows without corrupting names, values or timestamps|Independent timer/history controls, correct durable entries, valid CSV|Comma/quote/newline names; locale timestamps; empty score; >50 records; reload; clear|Multiplayer service, precision stopwatch, tournament platform|Spec explicitly accepts unescaped CSV; this is inadequate for its own score-export job
minutes-to-ops|Teams converting meeting notes into follow-up work|Paste minutes → extract rule-based items → review/copy artifacts|Reuse tasks/decisions with source context and missing owners/dates visible|Traceable extraction, unknowns, editable/reusable artifacts|Unstructured notes; absent owner/date; multiline bullets; duplicate actions|AI summarization, executing tasks, project-management backend|Need representative meeting fixtures and explicit non-extraction behavior
money-template-checker|Households organizing a simple monthly JPY budget|Enter income/spending/savings target → calculate → inspect summary|Understand totals, remainder and savings feasibility without financial advice|Numeric validation, transparent arithmetic, explicit zero/deficit handling|Zero income; negatives; decimals; huge values; empty categories|Financial planning, tax guidance, bank aggregation|Defined numeric cases are useful; user interpretation and full browser flow remain unverified
motion-atlas|Designers choosing a UI motion pattern|Search → run demo → compare → copy guidance|Select motion for a stated purpose with accessibility/performance tradeoffs understood|Controllable demos, meaningful alternatives, reduced-motion behavior, reusable guidance|Reduced-motion setting; repeated demos; no match; long detail; narrow comparison|Animation editor, speculative pattern proliferation|Need rendered accessibility and comparison evidence rather than catalog count
moving-checklist-generator|Households organizing a move over time|Set date/household → generate → mark tasks → print|Use a dated, relevant checklist and retain deliberate progress without missed reset consequences|Date arithmetic, condition-based tasks, local state, usable print/export|Past date; timezone boundary; changed date after progress; reload; printing|Moving service booking, calendar integrations, accounts|Verify regeneration/progress semantics and date boundaries
moving-lease-final-check|Tenants preparing final move-out checks|Choose circumstances → inspect/check tasks → review handoff|Complete final inspection/evidence/key/meter tasks and reuse a clear handoff note|Relevant final-stage tasks, preserved progress, clear evidence reminders|Incomplete tasks; changed conditions; reload/reset; locked optional outputs|Whole-move planner, legal/deposit dispute determination|Clarify free completion and progress-loss behavior independently of Pro artifacts
name-old-kanji-checker|People inspecting unfamiliar characters in names|Enter name → inspect candidates/details → copy reference|Identify registered variants while retaining original spelling and uncertainty|Unicode-safe character mapping, unknowns, per-character provenance|Supplementary characters; unknowns; repeats; mixed kana; long name|Official identity validation or automatic name correction|Character data tests do not validate all ambiguous-name decisions
newsletter-kit-generator|Writers planning a newsletter issue/series|Enter theme/audience/frequency → generate kit → copy/edit|Reuse a coherent plan with actionable issue structure and supplied context preserved|Input consistency, practical sections, editable output|Sparse input; long audience; incompatible frequency; repeat|Mailing service, subscriber management, content AI|Concrete examples needed for meaningful tailoring and missing-input behavior
niche-job-starter-kit|Small teams drafting a niche-role hiring kit|Enter role/context → generate post/questions/sheet columns|Share internally consistent recruiting materials for human review|Role/requirement consistency, usable questions, reusable candidate-sheet structure|Missing duties; contradictory conditions; long text; regenerate|Applicant tracking, employment/legal guarantees, candidate scoring|Expected artifact consistency and unsupported assumptions need explicit cases
notion-form-design-kit|Operators designing a Notion intake workflow|Enter intake requirements → generate schema/workflow/messages|Recreate a coherent database/intake design in Notion from the draft|Clear property types, consistent mappings, copyable instructions/messages|Duplicate field names; conflicting types; missing routing; long labels|Connecting to Notion or creating a live form automatically|Need a manual reconstruction acceptance example proving the handoff is usable
og-image-maker|Publishers preparing a social sharing image|Enter text/colors/logo → preview → download 1200×630 image|Save an image with legible, unclipped intended text and correct dimensions|Text fitting, preview/export agreement, image decode, download|Long title; CJK/emoji; missing logo; unsupported file; comma-bearing batch fields|Design suite, live social posting, activation of paid batch features|Text-fit/export and gated CSV parsing need concrete tests; paid paths not activated in this audit
old-document-kanji-highlighter|Readers inspecting old/variant characters in text|Paste historical-style text → highlight → inspect modern reference|Locate registered variants and reuse a reference without losing source text|Accurate spans, original/converted comparison, unknowns, Unicode-safe output|Supplementary forms; repeated characters; long paragraphs; mixed scripts|Translation, scholarly interpretation, authoritative transcription|Define long-text behavior and ambiguous mapping presentation
old-kanji-ocr-scanner|Readers transcribing an image containing old kanji|Choose image → OCR → correct text → inspect variants|Obtain reviewable corrected text and distinguish OCR errors from dictionary matches|OCR progress/error handling, editable recognition, original-image comparison|Poor scan; rotated image; model/network failure; unusual glyphs; reselect|Guaranteed historical-glyph recognition or expert transcription|OCR correction is intrinsic; actual accuracy and large-image limits remain unmeasured
old-kanji-reference|Learners/readers identifying an old kanji form|Search or paste → inspect entry/variants → reuse reference|Find the relevant mapping and its uncertainty/provenance without overwriting the original name|Search, recognizable glyphs, explanatory detail, unknowns and optional copy|No match; similar forms; missing glyph font; supplementary characters|Official-name certification or full historical dictionary|Validate ambiguity and font fallback against actual reading tasks
ops-weekly-report-generator|Operations teams drafting a weekly report|Enter KPIs/results/risks/actions → generate bilingual draft|Reuse a consistent report with facts, open items and next actions preserved|Stable section mapping, explicit omissions, copy/edit behavior|Missing KPI; multiline risks; mixed-language values; regenerate|Analytics collection, automated management decisions|Need field-to-section examples and edit/regeneration rules
outsource-spec-generator|Clients preparing a vendor brief|Enter scope/deliverables/acceptance → generate → copy draft|Share an actionable brief whose acceptance and revision terms can be agreed|Required fields, concrete acceptance output, free copy; currently blocked at startup|Boot without entitlement; missing core fields; long terms; repeated generation|Contract execution, payment, legal/IP conclusions|Free boot and accessible form must be checked before detailed entitlement assertions
pages-deploy-guide|Developers preparing a static-site deployment|Choose host/context → generate checks → review diagnosis/handoff|Know concrete pre-deploy checks and unresolved environment details|Host-specific steps, usable checklist, honest diagnosis limits|Wrong host; incomplete settings; unsupported error symptom|Deploying sites or guaranteeing a release passed|Generated checks must be independently actionable; docs should not equate output with successful deploy
pattern-atlas|Designers exploring and exporting pattern illustrations|Search reference → edit SVG colors → preview → export|Reuse the intended generated asset with source/cultural limitations understood|Accurate preview/export, valid SVG/PNG, accessible controls, context notes|Complex SVG; color edits; large export; no match; narrow controls|Claiming cultural authenticity or merging with Pattern Dictionary|Content confidence and export/render equivalence require more than structural checks
pattern-dictionary|People recognizing a pattern without knowing its name|Browse/search description → inspect references → compare two|Identify plausible pattern names and distinguish confusable patterns with reliable visuals|Image-backed discovery, uncertainty, sourced detail, comparison and language continuity|Vague/zero-match query; confusable pair; missing image; direct detail link|Asset generator, image-upload AI, shopping catalog|SPEC says 20 prototypes/DEV/noindex; current data contains 100 and newer publication docs disagree
pdf-page-tools-mini|Users rearranging or composing PDFs|Load PDFs → select/order/rotate pages → export|Open a new PDF with the intended page sequence and content, originals intact|Reliable page preview/order, operation feedback, valid downloadable PDF|Encrypted/corrupt PDF; many pages; mixed rotations/sizes; repeated imports|Full PDF text editor, OCR, cloud storage|Need independent exported-page order/content checks and a usable memory envelope
pdf2csv-local|Office users extracting a selectable-text PDF table|Load PDF → inspect/edit extracted rows → export CSV/XLSX|Reopen a table whose rows/columns match the source, with uncertain extraction exposed|Source comparison, review/correction, valid export, unsupported-scan feedback|Scanned PDF; merged cells; multipage tables; long text; malformed file|Guaranteed arbitrary PDF-table extraction or cloud OCR|Algorithm success is insufficient; real table fidelity and correction effort need representative PDFs
phone-quickcheck|People checking a phone or charging accessory requirement|Search handset → inspect specs/connector/power guidance|Find the right model and official source and understand supported vs unknown charging facts|Model disambiguation, explicit unknowns, conservative estimates, official handoff|Similar variants; missing battery capacity; proprietary charging; no match|Phone encyclopedia, live prices, performance benchmarking|Good focused contract; real model lookup and source freshness remain to be sampled
place-old-kanji-checker|People reading old maps, signs or addresses|Enter place/address → inspect variant candidates|Understand registered character alternatives while preserving the literal original location text|Per-character mapping, unknowns, Unicode-safe display, clear uncertainty|Historic names; unknown/supplementary forms; mixed numbers; long address|Geocoding, current official address validation|Need examples separating character variants from historical place identity
product-founder-os|Founders adopting a repository-based product workflow|Read overview → follow repository/start links|Reach the operating pack and understand setup and decision ownership|Clear audience, adoption path, working links, scope limits|Stale links; unclear prerequisites; narrow reading|Hosted project-management app or autonomous product decisions|Actual external pack adoption remains unverified
reconcile|Finance/operations staff reconciling two transaction sets|Load A/B → map/normalize → match → review exceptions → export|Account for every input row and review ambiguous/conflicting/unmatched records in reusable output|Stable row identity, explicit ambiguity, transparent tolerance, review and valid export|Duplicates; one-to-many candidates; rounding/date boundaries; XLSX/CSV variants; large data|Accounting system, bank connectivity, automated settlement|Strong contract and dedicated tests; current full UI/export/stress behavior was not executed here
redirect-unwrapper|Users inspecting a tracking URL safely|Paste URL → decode/extract → inspect/copy candidate|Read the embedded destination without navigation and distinguish it from a verified final destination|Safe string parsing, candidate explanation, copy, no automatic navigation|Nested encoding; malformed URL; multiple destination keys; cycles/length|Following redirects, malware certification, browsing the destination|Nested/ambiguous extraction cases need downstream user comprehension checks
release-guardian|Maintainers seeking repository release checks|Read verdict/safe-fix scope → open repository → adopt|Reach a usable preflight workflow and understand that reports require review|Accurate prerequisites, working handoff, clear execution boundaries|Stale links; unavailable environment; first-use ambiguity|Guaranteeing release safety or running deployment on the landing page|Linked workflow adoption and execution were not tested
rename-wizard|Users preparing batch filename cleanup candidates|Select files → choose rules → inspect original/candidate list → reuse|Obtain an unambiguous original-to-candidate mapping with collisions visible for downstream renaming|Preserve identity/extensions, expose duplicate/conflicting names, usable mapping|Duplicate candidates; empty names; Unicode; many files; repeated rules|Reading contents or silently renaming files|Validate mapping handoff first; direct filesystem rename is not automatically a required feature
screenshot-stitcher|People combining sequential screenshots|Load several → reorder/crop/control output → preview/save|Open a correctly ordered legible combined image or clearly ordered split files|Order controls, dimension/memory safeguards, preview/export parity|Huge total height; mixed widths; duplicates; transparent images; reorder/reselect|Screenshot capture service or full image editor|Define practical canvas limits and export behavior before adding editing features
size-converter|Shoppers comparing approximate clothing/shoe sizes|Choose category/system/input → convert or estimate → inspect comparison|Understand a conservative cross-system estimate and verify fit against a brand chart|Input normalization, units, uncertainty, category-correct conversion, bounded comparison|Ambiguous size; out-of-range measurements; cm/in switch; unknown brand conventions|Universal fit guarantee or retailer price catalog|Strong explicit approximation boundary; task-level interpretation still requires checking
sponsor-page-builder|Independent maintainers drafting support copy|Enter project/funding use/tiers → generate → review/copy|Publishable draft explains funding purpose and realistic benefit boundaries after review|Consistent tiers, explicit limits, reusable sections/FAQ|Empty funding need; conflicting benefits; long project text|Payment platform, donor accounts, fundraising guarantees|Need examples preventing invented commitments and contradictory tier wording
sql-db-risk-checker|Developers reviewing SQL before execution|Paste/select policy → analyze warnings → inspect spans|Identify supported destructive patterns and unknown limitations without executing SQL|Statement-aware detection, clear severity/evidence, no-execution boundary|Comments/strings; multiline; dialect differences; missing WHERE; empty/large SQL|DB connection, execution, auto-fix, certainty of safety|Independent dialect/false-negative fixtures matter more than a green verdict label
sukima-baito-income|Workers keeping a simple side-income ledger|Add dated income → review month/year totals → export CSV|Retain accurate entries and reuse totals/CSV while knowing storage and tax limits|Numeric/date validation, durable entries, correction/delete clarity, valid export|Blank/negative amount; month/year boundary; reload; duplicate entry; Unicode label|Tax determination, filing or bank integration|Durability, CSV correctness and destructive actions need end-to-end evidence
 tiny-audio-meter|Creators comparing microphone/input conditions|Permit mic → inspect relative level/pitch/spectrum → capture/compare|Understand relative measurements and compare snapshots under disclosed acquisition conditions|Permission lifecycle, honest units/confidence, controllable capture, usable numeric outputs|Permission denial; silence; noise/polyphony; changed device/gain; stop/restart|Calibrated SPL meter, professional tuner, recording service|Detailed measurement contract; actual device/audio behavior not exercised in this audit
trashnavi|Residents finding their municipality's official waste guidance|Choose prefecture/municipality/type or keyword → open official link|Reach the correct local authority page with link purpose and coverage clear|Municipality disambiguation, accurate official destinations, no-match/coverage status|Same-named places; missing locality; stale official URL; wrong link type|Deciding disposal rules or submitting bookings|Directory count is not coverage; verify common and underserved municipalities and stale links
ui-atlas|Builders choosing an interface pattern|Search → inspect details/examples → compare → copy guidance|Choose a fitting pattern with mobile/accessibility tradeoffs and actionable handoff|Search relevance, comparable criteria, readable examples, reusable notes|No match; long detail; narrow comparison; locked preview content|Design editor, framework migration, catalog expansion for its own sake|Need rendered demo/comparison evidence and clear preview vs usable-content boundaries
unicode-kanji-checker|Users investigating a glyph/encoding issue|Enter text/character → inspect code points/entities/UTF-16|Reuse correct encoded values and understand glyph/environment limitations|Code-point-safe iteration, exact values, unknown/multi-character behavior, copy|Surrogate pairs; combining sequences; variation selectors; emoji; long text|Font guarantee, character normalization without review|Runtime tests support samples; complex grapheme behavior and copy need fuller validation
unitmaster|Users converting everyday physical units|Choose category/units → enter value → inspect single/batch conversion|Reuse a numerically correct value with clear units and suitable precision|Correct factors/offsets, validation, consistent inverse conversion, readable units|Negative temperature; zero; extreme values; decimals; same unit; locale input|Scientific metrology or exhaustive unit database|Independent factor/rounding/boundary examples needed; history is not a quality metric
url-title-collector|People building a titled reference list from URLs|Paste one per line → collect → inspect statuses → copy CSV/TSV|Reuse a list preserving URL identity and each success/failure, with safely serialized titles|Per-row status, progress/cancellation behavior, correct CSV/TSV, disclosed fetch route|Invalid/duplicate URLs; timeout; empty/comma/newline title; many URLs; repeat|Crawler, authenticated browsing, backend bookmark service|Bounded concurrency/timeout and copy round-trip must be specified and tested
