id	name_ja	name_en	scope	definition_ja	definition_en	features_ja	sources
jacobean-floral	ジャコビアン・フローラル	Jacobean Floral	modern floral surface-design family derived from Jacobean/crewelwork conventions	スクロールする茎に、様式化した花・葉・果実などを密に組み合わせる装飾的な植物柄の系統です。歴史的なジャコビアン刺繍・クルーエルワークに由来する現代的な分類で、固定柄ではありません。	A modern floral surface-design family derived from Jacobean/crewelwork conventions, using scrolling stems with stylized flowers, leaves, fruit, and related ornament. It is not one fixed motif.	長く曲がるスクロール状の茎 / 大きめで様式化された花や葉 / 密で装飾的な構成	National Gallery of Victoria|https://www.ngv.vic.gov.au/wp-content/uploads/2014/08/ExquisiteThreads_Labels.pdf; Textile Research Centre Leiden|https://trc-leiden.org/trc-needles/regional-traditions/europe-and-north-america/embroideries/crewel-embroidery
botanical-print	ボタニカル柄	Botanical Print	broad plant-form surface-print family	葉・茎・花・実など、植物の形を主題にした広いプリント柄の分類です。写実的な植物図から抽象化した反復まで含み、ひとつの固定モチーフではありません。	A broad surface-print family organized around plant forms such as leaves, stems, flowers, and seedpods, ranging from naturalistic illustration to stylized repeats. It is not one fixed motif.	植物の形そのものが主題 / 葉や茎だけでも成立する / 写実から抽象まで幅が広い	Victoria and Albert Museum|https://www.vam.ac.uk/articles/post-war-textiles; KEITA MARUYAMA Textile Museum|https://www.keitamaruyama.com/blog/125
ivy	アイビー柄	Ivy Pattern	generic ivy-leaf botanical motif family	切れ込みのあるアイビーの葉を、単独または茎・つるに沿って反復する植物柄の系統です。ひとつの標準リピートではなく、葉形とつるの組み合わせを主な手掛かりにします。	A broad botanical motif family using recognizable lobed ivy leaves, repeated alone or along trailing stems and vines. It is not one standardized repeat.	切れ込みのあるアイビー葉 / つるや茎に沿った連続配置 / 緑色は代表例で必須ではない	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/13998
baroque-scroll	バロック・スクロール	Baroque Scroll	Baroque running-scroll ornamental family rather than one uniquely fixed repeat	C字・S字に巻き上がるスクロールへ葉や花を絡める、バロック装飾由来の広い様式です。一本の固定リピートではなく、連続する巻き線が識別の中心です。	A broad Baroque-derived ornamental style built from rolling C- and S-shaped scrolls, often with foliage or flowers. It is not one fixed repeat.	C字・S字の巻き線 / 葉や花を伴う装飾的な連続 / 巻き線が横方向へ連続して走る反復リズム	Victoria and Albert Museum|https://www.vam.ac.uk/articles/the-baroque-style; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/26786
chinoiserie	シノワズリ	Chinoiserie	European decorative style adapting imagined or interpreted East Asian motifs, not one fixed motif	中国美術へのヨーロッパ的な憧憬から展開した装飾様式で、楼閣、鳥、花木、庭園などを幻想的に組み合わせます。単一の固定柄ではありません。	A broad European decorative style inspired by Chinese art, often combining pavilions, birds, flowering plants, and gardens. It is not one canonical repeat.	楼閣・鳥・花木などの東アジア風情景 / 一つのモチーフではなく様式全体 / 情景要素を余白とともに非対称に配置する構成	Victoria and Albert Museum|https://www.vam.ac.uk/articles/chinoiserie-an-introduction; The Metropolitan Museum of Art|https://www.metmuseum.org/exhibitions/listings/2015/china-through-the-looking-glass/exhibition-galleries
flame-stitch	フレームステッチ	Flame Stitch	Bargello or flame-stitch counted-thread embroidery technique and its characteristic stepped zigzag visual	階段状に上下する尖った山と谷を連続させ、炎のような動きを作る意匠です。Bargelloなどの刺繍技法と強く結びつくため、技法由来の視覚系として扱います。	A stepped sequence of pointed peaks and valleys creating a flame-like rhythm, strongly associated with Bargello and related needlework.	階段状の山と谷 / 単純なジグザグより多段の尖り / 段階的に上下するジグザグが炎状の峰をつくる	Victoria and Albert Museum|https://www.vam.ac.uk/articles/embroidery-styles-an-illustrated-guide; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/156124
moire	モアレ	Moiré	watered or rippled textile surface effect rather than one fixed motif	水面や木目のような揺らぐ帯が見えるモアレ効果です。固定された線画ではなく、光沢や組織の干渉による表面効果を指します。	A watered or rippled moire effect resembling flowing water or wood grain. It is a textile/surface effect rather than one fixed drawn motif.	水面のような揺らぐ帯 / 間隔や太さが局所的に変化 / 水面のような波紋が重なって流れる光沢線	Smithsonian Museum Conservation Institute|https://mci.si.edu/node/1317445; National Museum of American History, Smithsonian Institution|https://americanhistory.si.edu/collections/object/nmah_624411
kanoko	鹿の子	Kanoko	kanoko spotted visual convention closely tied to kanoko shibori resist-dye technique	鹿の子絞りと結びつく、小さな点・輪点を規則的または菱状に並べた視覚表現です。点柄一般ではなく、絞り由来の輪点が重要です。	A dotted visual convention associated with kanoko shibori, using small resist dots or rings arranged regularly or in diamond groupings.	小さな点または輪点 / 点が菱状・格子状にまとまる / 小さな結び防染の点が群として反復する	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/74585; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/45399
same-komon	鮫小紋	Same Komon	same or sharkskin fine-dot komon visual produced within a fine-pattern dyeing tradition	極小の点を弧・扇状に密集させ、遠目には無地に近く見える鮫小紋の視覚表現です。固定された一点密度を唯一の正解とはしません。	A Same Komon visual convention made from extremely fine dots grouped in arc or fan-like formations, often reading nearly solid from a distance.	非常に細かい点 / 点が弧・扇状にまとまる / 極小の点が高密度に集まり鮫肌状の面をつくる	Bureau of Industrial and Labor Affairs, Tokyo Metropolitan Government|https://www.dento-tokyo.metro.tokyo.lg.jp/english/items/02.html; University of Michigan Museum of Art|https://umma.umich.edu/objects/kimono-2013-2-477/
shibori	絞り	Shibori	family of Japanese resist-dye techniques producing many different patterns	布を括る・縫う・折る・締めるなどして染料を防ぐ、日本の絞り染め技法群です。結果の模様は多様で、代表画像は技法の一例に限ります。	A Japanese family of resist-dye techniques that bind, stitch, fold, clamp, or otherwise restrict cloth before dyeing; resulting patterns vary widely.	染まらない白抜き部分 / 輪・線・しわ状など多様な絞り痕 / 防染部のにじみや輪郭の揺らぎが反復に残る	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/79595; Kyoto Shibori Museum|https://en.shibori.jp/shibori-exhibition
batik	バティック	Batik	wax-resist dyeing textile tradition with a wide diversity of patterns	蝋で防染して染め分けるバティックの技法・伝統で、地域ごとに植物・幾何・象徴文様が多様に展開します。一つの固定柄ではありません。	A wax-resist textile technique and tradition encompassing many regional floral, geometric, and symbolic patterns; Batik is not one fixed motif.	蝋防染による細い輪郭 / 植物・幾何など多様なモチーフ / 蝋防染による輪郭と細かなひび割れ状の線が現れる	UNESCO Intangible Cultural Heritage|https://ich.unesco.org/en/RL/batik-a-masterpiece-of-the-oral-and-intangible-heritage-of-humanity-00170
bandhani	バンダニ	Bandhani	South Asian tie-resist textile technique and tradition characterized by numerous tied points	布の小点を多数つまんで括り、防染する南アジアのタイ・レジスト染色伝統です。微細な白抜き点が菱・円・格子などを作りますが、配置は多様です。	A South Asian tie-resist tradition made by tying many tiny points before dyeing; small resist dots may form grids, diamonds, circles, or larger motifs.	非常に小さな白抜き点 / 多数の点で大きな図形を作る / 結び防染の小点が列や幾何・花形を組み立てる	Government of Rajasthan — Handmade in Rajasthan|https://handmadeinrajasthan.rajasthan.gov.in/content/industries/handmadeinrajasthandepartment/artandcraft/textilework/bandhani.html; Government of Rajasthan — Handmade in Rajasthan|https://handmadeinrajasthan.rajasthan.gov.in/content/industries/handmadeinrajasthandepartment/artandcraft/textilework/tyeanddyetobereplacedwithbandhejandlehriya.html
ajrakh	アジュラック	Ajrakh	Kachchh/Sindh-linked resist and block-print textile tradition with complex geometric pattern vocabularies	シンド・カッチ地方などと結びつく多工程の木版染色・捺染伝統で、反復する幾何や花文を深い藍・赤などで構成します。単一モチーフ名ではありません。	A multi-stage South Asian block-printing and dyeing tradition associated especially with Sindh and Kutch, often using dense geometric or floral repeats in indigo and red.	木版由来の反復幾何 / 藍・赤系の深い配色が代表的 / 幾何と植物要素を対称的なブロック反復へ組み込む	District Kachchh, Government of Gujarat|https://kachchh.nic.in/handicraft/; Gujarat Tourism|https://gujarattourism.com/handicrafts/ajrakh.html
kalamkari	カラムカリ	Kalamkari	Indian painted, mordant-dyed and resist-dyed textile process/tradition rather than one fixed pattern	筆描きや木版を用いて布に絵付けするインドの染織・絵画伝統です。花唐草、樹木、人物、物語場面など幅広く、一つの固定モチーフではありません。	An Indian textile-painting and printing tradition using hand-drawn pen work and/or blocks, with floral vines, trees, figures, and narrative scenes.	手描き感のある細い輪郭 / 花唐草・樹木・物語場面など多様 / 植物の蔓や花を流れる線でつなぐ描画的構成	The Metropolitan Museum of Art|https://www.metmuseum.org/ko/essays/indian-textiles-trade-and-production; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/447118; Government of India — National Portal / ODOP|https://www.india.gov.in/explore-india/odop/details/srikalahasthi-kalamkari
suzani	スザニ	Suzani	Central Asian embroidered textile tradition with many regional compositions rather than one fixed repeat	中央アジアの刺繍布スザニを、ロゼットや花、葉、茎の大きな刺繍構成として扱います。地域や制作例で構図が変わるため、固定リピートではありません。	A Central Asian embroidered-textile tradition recognized by bold rosettes, flowers, leaves, and scrolling stems. Layouts vary, so it is not one fixed repeat.	大きな円形ロゼットや花 / 太い茎と葉の刺繍 / 余白を埋める対称・準対称の大柄構成	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/447384
kente	ケンテ	Kente	Ghanaian strip-woven textile tradition with many named arrangements rather than one fixed motif	ガーナのケンテを、細幅の織り帯をつなぎ、色のブロックや幾何学帯が切り替わる染織として扱います。単一柄ではありません。	A Ghanaian strip-woven textile tradition built from narrow patterned bands sewn together. Color blocks and geometric sections vary across many kente designs.	細い織り帯を接ぎ合わせた構造 / 色ブロックと幾何学帯の切り替え / 縦方向のストリップ境界が見える	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/894795
bogolan	ボゴラン	Bogolan	Malian bogolanfini mud-dyed textile tradition with varied symbolic pattern vocabularies	マリの泥染め布ボゴランを、黒〜茶の幾何学記号と生成り地の強い対比として扱います。記号や配置は多様で、単一の固定柄ではありません。	A Malian mud-dyed textile tradition using dark geometric marks against lighter cloth. Motifs and arrangements vary, so this is a representative family rather than one fixed pattern.	黒〜茶と生成りの強い対比 / 線・点・山形などの幾何学記号 / 帯や区画に分かれた反復	Smithsonian National Museum of African Art|https://www.si.edu/object/nmafa_2012-9-1
adire	アディレ	Adire	Yoruba indigo resist-dyed textile tradition using multiple resist methods and named patterns	ヨルバの藍染めアディレを、藍地に防染で白〜淡青の点・線・円・格子が現れる染織として扱います。技法も図柄も複数あります。	A Yoruba indigo resist-dyed textile tradition producing pale dots, lines, circles, grids, and named designs on blue cloth through several resist methods.	藍地と白〜淡青の防染部分 / 点・円・格子・線の組み合わせ / 絞り・縫い・糊など技法で輪郭が変わる	Victoria and Albert Museum|https://www.vam.ac.uk/articles/adire-tied-and-dyed-indigo-textiles; The British Museum|https://www.britishmuseum.org/collection/term/x112724
kuba-cloth	クバ布	Kuba Cloth	Kuba textile tradition using raffia and varied geometric embroidery/applique rather than one fixed motif	クバ布を、ラフィア地に角張った幾何学模様を刺繍・アップリケなどで重ねる広い染織伝統として扱います。固定の一柄ではありません。	A broad Kuba raffia-textile tradition recognized by bold angular geometry created through embroidery, applique, pile, dye, and related techniques.	ラフィア色の地 / 角張った幾何学の反復 / 対称を崩すずれや中断が入りやすい	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/318398
sashiko	刺し子	Sashiko	Japanese running-stitch reinforcement and embroidery tradition with many geometric motifs	刺し子を、短い運針が点線状につながって幾何学を作る日本の縫い・刺繍技法として扱います。模様語彙は多数あり、一柄ではありません。	A Japanese running-stitch reinforcement and embroidery tradition in which short stitches form dotted geometric lines. It includes many named motifs rather than one fixed pattern.	短い運針の連続が点線に見える / 藍地に白糸が代表的 / 格子・波・菱形など幾何学を線で組む	Cooper Hewitt, Smithsonian Design Museum|https://www.si.edu/object/sashiko-motifs%3Achndm_1948-128-18
kantha	カンタ	Kantha	Bengal/Bangladesh layered-cloth running-stitch embroidery and quilting tradition with varied personal designs	カンタを、重ねた布を細かな運針でキルティングし、人物・花・幾何学などを自由に刺すベンガル地域の染織伝統として扱います。	A Bengal and Bangladesh quilting/embroidery tradition using dense running stitches across layered cloth, often with varied figures, flowers, borders, and geometry.	面全体に走る細かな運針 / 布を重ねたキルティング感 / 具象と幾何学を混ぜた自由な構図	Victoria and Albert Museum|https://www.vam.ac.uk/articles/indian-embroidery
otomi-embroidery	オトミ刺繍	Otomi Embroidery	Otomí/Tenango embroidery tradition with varied densely filled animal and plant figures	メキシコ・イダルゴ州のオトミ／テナンゴ刺繍を、動物・鳥・植物の色鮮やかなシルエットを密に刺した構成として扱います。	An Otomí/Tenango embroidery tradition from Hidalgo, Mexico, recognized by brightly filled animal, bird, plant, and floral silhouettes arranged across cloth.	動物・鳥・植物の大きな輪郭 / 輪郭内部を色糸で密に埋める / 白地に多色のモチーフが散る	National Museum of the American Indian, Smithsonian|https://americanindian.si.edu/collections-search/object/NMAI_281114; Museo Nacional de Culturas Populares / Google Arts & Culture|https://artsandculture.google.com/story/yAVx8DqM0sentQ
african-wax-print	アフリカンワックスプリント	African Wax Print	Commercial wax-print textile style with many polychromatic motifs and complex transnational history	アフリカンワックスプリントを、強い多色と輪郭のはっきりした反復モチーフを持つプリント綿布の広い系統として扱います。図柄は非常に多様です。	A broad wax-print cotton style recognized by saturated flat colors and crisp repeated motifs. Geometric, floral, figurative, and symbolic designs vary widely.	高彩度の多色面 / 輪郭のはっきりした大柄モチーフ / 幾何学・植物・具象を大胆に反復	Victoria and Albert Museum|https://www.vam.ac.uk/articles/cloth-of-a-continent-africa-fashion
block-print	ブロックプリント	Block Print	Relief block-printing technique capable of many textile motifs rather than one fixed visual pattern	ブロックプリントを、彫った版を繰り返し捺してモチーフを構成する印刷技法として扱います。花・幾何学など図柄自体は多様です。	A relief-printing technique in which carved blocks are repeatedly impressed onto cloth. The modular block repeat is the cue; motif families vary widely.	同じ版形が規則的に反復 / 版の境界や微妙な位置ずれ / 花・幾何学など多様な図柄を版単位で組む	The Metropolitan Museum of Art|https://www.metmuseum.org/es/perspectives/indian-block-printed-textiles
tie-dye	タイダイ	Tie-dye	resist-dye technique family created by binding cloth before dyeing rather than one fixed motif	布をつまみ、縛ってから染めることで防染部を残すタイダイ技法を、放射・輪・帯などのにじんだ色境界として扱います。一柄ではありません。	A resist-dye technique family made by binding or pinching cloth before dyeing, producing radiating rings, bands, diamonds, and soft-edged color transitions.	中心から広がる放射や輪 / 色境界がにじみやすい / 縛り位置に沿って白抜けや淡色部が残る	The Metropolitan Museum of Art|https://www.metmuseum.org/exhibitions/listings/2011/the-andean-tunic-400-bce1800-ce/photo-gallery
marbling	マーブル柄	Marbling	marbling technique and visual family made by floating color on a bath and transferring flowing patterns	液面に浮かべた色を移し取るマーブリングを、互いに流れ込む筋・渦・羽根状の帯として扱います。固定リピートではありません。	A marbling technique and visual family made by floating color on a bath and transferring flowing veins, swirls, and combed bands. It has no single fixed repeat.	液体が流れたような連続曲線 / 複数色の筋が互いに入り組む / 規則的な反復単位がない	The Metropolitan Museum of Art|https://www.metmuseum.org/ja/perspectives/marbled-paper
terrazzo	テラゾー柄	Terrazzo Pattern	material-inspired pattern family derived from terrazzo composite chips rather than one fixed printed motif	テラゾーの骨材チップを模した、大小の不定形片を地の上へランダムに散らす素材由来の柄です。固定リピートではありません。	A material-inspired pattern family based on terrazzo aggregate: irregular chips of different sizes and colors scattered through a contrasting matrix.	大小の不定形チップ / 向きのないランダム配置 / チップ間に連続した地色が見える	National Park Service|https://www.nps.gov/articles/000/preserving-the-texaco-road-map-pavement-at-the-new-york-state-pavilion.htm
